date,Latitude,Longitude,notes_polarity,notes_subjectivity,comments_polarity,comments_subjectivity,best_season,label
193,47.45051,-120.35903,0.0,0.0,0.0,0.0,0,2.5582402599098555
220,46.210088,-119.759287,0.0,0.0,0.2,0.2,1,1.7109491727246924
235,47.62984,-120.68945,0.0,0.0,0.2,0.2,1,1.740768349680327
210,47.445464,-120.267607,0.0,0.0,0.2,0.2,0,1.7431534995890396
197,47.143276,-119.852737,0.0,0.0,0.0,0.0,0,3.1717410275756275
197,47.404011,-120.322677,0.0,0.0,0.0,0.0,0,4.9276202348815215
198,47.5224,-120.47005,0.0,0.0,0.0,0.0,0,5.792405373517086
198,47.412753,-120.341665,0.0,0.0,0.0,0.0,0,4.308180321672987
201,46.215209,-117.397629,0.0,0.0,0.0,0.0,0,1.9772041115220742
202,47.17964,-119.33367,0.0,0.0,0.0,0.0,0,4.171530157581101
202,47.17964,-119.33367,0.0,0.0,0.0,0.0,0,4.171530157581101
202,46.498939,-117.065335,0.0,0.0,0.0,0.0,0,2.8312097377096612
202,47.540497,-120.281752,0.0,0.0,0.0,0.0,0,7.398158690859703
203,47.127385,-119.273195,0.0,0.0,0.0,0.0,0,2.8955194227622627
203,46.3943,-117.020025,0.0,0.0,0.0,0.0,0,2.570800254593308
205,47.164724,-119.239163,0.0,0.0,0.0,0.0,0,6.187987609238078
198,47.751657,-117.428378,0.0,0.0,0.4375,0.65,0,1.709175063648367
203,47.503333,-122.192205,0.0,0.0,0.3,0.5,0,2.1315405590005394
145,47.859524,-122.127766,0.0,0.0,0.1041666666666666,0.7152777777777777,0,1.6309591780546167
157,45.654957,-122.677283,0.0,0.0,-0.2916666666666667,0.5416666666666666,0,2.471072132927334
147,48.872793,-122.316346,0.0,0.0,-0.1041666666666666,0.4939814814814814,0,2.2941945082485176
167,47.666042,-117.288787,0.0,0.0,-0.5,1.0,0,2.6295470436768333
106,48.823521,-122.32684,0.0,0.0,0.0,0.0,0,4.864078839491636
275,47.99346,-122.193876,0.0,0.0,0.0,0.0,1,9.427906411677673
199,47.831707,-122.348836,0.0,0.0,0.0,0.0,0,5.490362878161888
204,47.178671,-122.26112,0.0,0.0,0.0,0.0,0,6.103194313504693
276,48.919172,-122.638017,0.0,0.0,0.0,0.0,0,9.302607145212738
211,48.954759,-122.445135,0.0,0.0,0.2,0.2,0,2.1855621627564528
226,47.640774,-117.381376,0.0,0.0,0.1,0.1833333333333333,1,1.7238487313244772
225,47.032456,-122.897768,0.0,0.0,0.25,0.35,1,1.6954663516552524
225,47.54409,-122.011459,0.0,0.0,0.25,0.35,1,1.77434561162796
223,47.17303,-122.59802,0.0,0.0,0.1,0.1,1,1.712567163242055
223,47.282048,-122.402385,0.0,0.0,0.1111111111111111,0.2888888888888889,1,1.7154073334030007
223,47.291743,-122.366477,0.0,0.0,0.25,0.35,1,1.738928566094979
