date,Latitude,Longitude,notes_polarity,notes_subjectivity,comments_polarity,comments_subjectivity,best_season,label
193,47.45051,-120.35903,0.0,0.0,0.0,0.0,0,4.772114431410005
220,46.210088,-119.759287,0.0,0.0,0.2,0.2,1,6.395564658259174
235,47.62984,-120.68945,0.0,0.0,0.2,0.2,1,6.354036388552644
210,47.445464,-120.267607,0.0,0.0,0.2,0.2,0,6.2933558686634745
197,47.143276,-119.852737,0.0,0.0,0.0,0.0,0,5.06777376595023
197,47.404011,-120.322677,0.0,0.0,0.0,0.0,0,4.151503143713419
198,47.5224,-120.47005,0.0,0.0,0.0,0.0,0,3.5465083092043743
198,47.412753,-120.341665,0.0,0.0,0.0,0.0,0,4.084451288987557
201,46.215209,-117.397629,0.0,0.0,0.0,0.0,0,5.600650067245664
202,47.17964,-119.33367,0.0,0.0,0.0,0.0,0,4.44824439004822
202,47.17964,-119.33367,0.0,0.0,0.0,0.0,0,4.44824439004822
202,46.498939,-117.065335,0.0,0.0,0.0,0.0,0,5.028722340834415
202,47.540497,-120.281752,0.0,0.0,0.0,0.0,0,3.269631170203947
203,47.127385,-119.273195,0.0,0.0,0.0,0.0,0,4.81412322744126
203,46.3943,-117.020025,0.0,0.0,0.0,0.0,0,4.650894987187694
205,47.164724,-119.239163,0.0,0.0,0.0,0.0,0,3.385894253896543
198,47.751657,-117.428378,0.0,0.0,0.4375,0.65,0,6.409353912204186
203,47.503333,-122.192205,0.0,0.0,0.3,0.5,0,5.647921277209503
145,47.859524,-122.127766,0.0,0.0,0.1041666666666666,0.7152777777777777,0,6.240050240685377
157,45.654957,-122.677283,0.0,0.0,-0.2916666666666667,0.5416666666666666,0,5.337999360817391
147,48.872793,-122.316346,0.0,0.0,-0.1041666666666666,0.4939814814814814,0,5.145699481176412
167,47.666042,-117.288787,0.0,0.0,-0.5,1.0,0,4.671091328826095
106,48.823521,-122.32684,0.0,0.0,0.0,0.0,0,3.343849115577646
275,47.99346,-122.193876,0.0,0.0,0.0,0.0,1,2.4227296175864836
199,47.831707,-122.348836,0.0,0.0,0.0,0.0,0,3.5723177676629367
204,47.178671,-122.26112,0.0,0.0,0.0,0.0,0,3.370459483585062
276,48.919172,-122.638017,0.0,0.0,0.0,0.0,0,4.525844348569943
211,48.954759,-122.445135,0.0,0.0,0.2,0.2,0,5.6354419130428335
226,47.640774,-117.381376,0.0,0.0,0.1,0.1833333333333333,1,6.336564115189022
225,47.032456,-122.897768,0.0,0.0,0.25,0.35,1,6.406103993499979
225,47.54409,-122.011459,0.0,0.0,0.25,0.35,1,6.307794951661117
223,47.17303,-122.59802,0.0,0.0,0.1,0.1,1,6.347011267975259
223,47.282048,-122.402385,0.0,0.0,0.1111111111111111,0.2888888888888889,1,6.3713389346268325
223,47.291743,-122.366477,0.0,0.0,0.25,0.35,1,6.349077646182467
211,48.572882,-121.767321,0.0,0.0,0.5,0.5333333333333333,0,5.832924801059291
253,47.357703,-122.310946,0.0,0.0,0.2,0.2,1,6.287368784364779
226,46.797246,-123.027706,0.0,0.0,0.2520833333333333,0.4979166666666667,1,5.270727329808879
218,47.86741,-122.1024,0.0,0.0,-0.0229166666666666,0.4354166666666667,1,5.57196351785533
249,47.97659,-122.20596,0.0,0.0,-0.0458333333333333,0.3708333333333333,1,5.980868798348286
213,45.624672,-122.23176,0.0,0.0,0.1619047619047619,0.2452380952380952,0,6.298095833206935
212,48.706481,-122.505053,0.0,0.0,0.2333333333333333,0.2888888888888889,0,6.0408590840374385
260,47.120218,-122.190379,0.0,0.0,0.2,0.2,1,6.32269034509283
232,45.731714,-122.414085,0.0,0.0,0.2,0.2,1,6.369015933126007
255,48.428741,-122.33166,0.0,0.0,0.2,0.2,1,6.324440566080293
256,47.574376,-122.30544,0.0,0.0,0.2,0.2,1,6.351756524774224
267,48.868684,-122.624094,0.0,0.0,0.2,0.2,0,5.616212189147917
271,47.67482,-122.378888,0.0,0.0,0.2,0.2,1,6.371438232020382
273,47.76251,-122.130835,0.0,0.0,0.2,0.2,1,6.317493657387369
222,47.638016,-122.352806,0.0,0.0,0.2333333333333333,0.3,1,6.348803876805271
231,47.8526,-121.98087,0.0,0.0,0.1,0.6,1,5.639587289470685
276,46.753001,-117.24759,0.0,0.0,0.2,0.2,1,6.349608349788965
214,46.612901,-120.426392,0.0,0.0,0.2,0.2,1,6.326682262915367
209,47.836278,-120.053487,0.0,0.0,0.25,0.2,0,6.352962766017024
173,47.279022,-119.544682,0.0,0.0,0.2,0.2,0,6.0319589413826185
192,46.532776,-117.915013,0.0,0.0,0.2,0.2,0,6.613187827751083
195,46.20645,-119.76877,0.0,0.0,0.2,0.2,0,6.534583563843058
208,47.333974,-118.687852,0.0,0.0,0.2,0.2,0,6.189368810036678
209,47.53815,-120.28128,0.0,0.0,0.2,0.2,0,6.330524521008671
210,46.504579,-120.480677,0.0,0.0,0.2,0.2,0,6.254096686837048
211,46.626106,-119.65063,0.0,0.0,0.2,0.2,0,6.332979404838441
211,47.418616,-120.258071,0.0,0.0,0.2,0.2,0,6.322928441361224
218,47.05101,-120.59152,0.0,0.0,0.2,0.2,1,6.346692253097778
236,47.59726,-119.39648,0.0,0.0,0.2,0.2,1,6.345268131211277
223,47.669584,-122.268095,0.0,0.0,0.4333333333333333,0.5277777777777778,1,6.321031742570332
219,47.71001,-120.67185,0.0,0.0,0.1083333333333333,0.5277777777777778,1,5.917323542584892
234,47.900331,-122.208626,0.0,0.0,0.1,0.475,1,6.015413288381355
